Species,Latitude,Longitude,Year,Citation,Notes,Censor
Eurycea chisholmensis,30.94362,-97.54417,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea chisholmensis,30.94361,-97.54417,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea chisholmensis,30.89967,-97.63904,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea chisholmensis,30.89587,-97.64422,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea chisholmensis,30.89558,-97.63366,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea chisholmensis,30.69839,-97.78173,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea chisholmensis,30.69727,-97.78193,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea chisholmensis,30.79038,-97.72827,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea chisholmensis,30.72047,-97.7368,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea chisholmensis,30.70278,-97.71639,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea latitans,29.84723,-98.49167,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea latitans,29.75583,-98.62028,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea latitans,29.76222,-98.66639,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea nana,29.89306,-97.93056,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea naufragia,30.66839,-97.75112,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea naufragia,30.66839,-97.75111,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea naufragia,30.6622,-97.7105,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea naufragia,30.66209,-97.76889,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea naufragia,30.66084,-97.72667,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea naufragia,30.66083,-97.72667,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea naufragia,30.66001,-97.75056,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea naufragia,30.66,-97.75056,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea naufragia,30.65395,-97.79322,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea naufragia,30.64556,-97.7364,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea pterophila,29.92821,-98.45105,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea pterophila,29.80201,-98.25285,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea pterophila,29.71362,-98.13695,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea pterophila,30.09167,-98.65834,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea pterophila,30.10618,-98.48196,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea pterophila,30.07667,-98.32945,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea pterophila,30.11112,-98.30195,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea pterophila,30.03279,-98.12521,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea pterophila,29.98334,-98.01362,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea neotenes,29.66278,-98.63723,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea neotenes,29.63751,-98.69445,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea rathbuni,29.71366,-98.1388,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea rathbuni,29.86829,-97.9676,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea rathbuni,29.90195,-97.9214,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea rathbuni,29.90194,-97.92139,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea sosorum,30.26369,-97.77083,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea sosorum,30.27959,-97.78043,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea sosorum,30.15821,-97.91499,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea tonkawae,30.53075,-97.7254,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea tonkawae,30.51676,-97.6613,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea tonkawae,30.5075,-97.74932,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea tonkawae,30.49709,-97.84698,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea tonkawae,30.49273,-97.85664,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea tonkawae,30.49265,-97.84587,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea tonkawae,30.48984,-97.84527,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea tonkawae,30.65049,-97.66805,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea tonkawae,30.46304,-97.84787,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea tonkawae,30.46171,-97.87433,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea tonkawae,30.45737,-97.833867,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea tonkawae,30.45711,-97.86254,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea tonkawae,30.44985,-97.85381,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea tonkawae,30.42182,-97.85095,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea tonkawae,30.41945,-97.85143,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea tonkawae,30.43098,-97.78226,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea tonkawae,30.42599,-97.81448,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea tonkawae,30.42522,-97.81471,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea tonkawae,30.42145,-97.81807,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea tonkawae,30.42085,-97.84024,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea tonkawae,30.41901,-97.8127,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea tonkawae,30.41863,-97.81414,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea tonkawae,30.41489,-97.75782,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea tonkawae,30.41365,-97.82247,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea tonkawae,30.41256,-97.82572,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea tonkawae,30.4096,-97.75257,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea tonkawae,30.40873,-97.75454,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea tonkawae,30.40856,-97.83896,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea tonkawae,30.40465,-97.82645,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea tonkawae,30.40464,-97.82644,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea tonkawae,30.37583,-97.76722,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea tonkawae,30.3718,-97.76352,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea tonkawae,30.36296,-97.74807,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea tonkawae,30.36156,-97.75989,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea troglodytes,29.74945,-99.42668,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea troglodytes,29.98944,-99.95361,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea troglodytes,29.95864,-99.95868,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea troglodytes,29.98639,-99.96417,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea troglodytes,29.95556,-99.97139,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea troglodytes,29.4275,-99.78461,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea troglodytes,29.808,-99.558,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea troglodytes,29.80778,-99.558,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea troglodytes,29.82389,-99.56695,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea troglodytes,29.82972,-99.59281,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea troglodytes,29.62869,-99.17797,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea troglodytes,29.629,-99.178,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea waterlooensis,30.26368,-97.77082,,"Devitt, et. al., 2019",All via Appendix Table S6,No
Eurycea cirrigera,33.891,-83.3623,,Pierson et al. 2023,All via Appendix 1 Table S1,No
Eurycea wilderae,35.3575,-83.9178,,Pierson et al. 2023,All via Appendix 1 Table S1,No
Eurycea cirrigera,37.1857,-80.3766,,Pierson et al. 2023,All via Appendix 1 Table S1,No
Eurycea cirrigera,37.2572,-80.5248,,Pierson et al. 2023,All via Appendix 1 Table S1,No
Eurycea bislineata,39.4288,-76.9232,,Pierson et al. 2023,All via Appendix 1 Table S1,No
Eurycea cirrigera,37.3566,-80.461,,Pierson et al. 2023,All via Appendix 1 Table S1,No
Eurycea wilderae,34.4027,-83.5921,,Pierson et al. 2023,All via Appendix 1 Table S1,No
Eurycea cirrigera,35.3872,-79.9622,,Pierson et al. 2023,All via Appendix 1 Table S1,No
Eurycea wilderae,35.61,-83.45,,Pierson et al. 2023,All via Appendix 1 Table S1,No
Eurycea cirrigera,32.5,-83.5,,Pierson et al. 2023,All via Appendix 1 Table S1,No
Eurycea wilderae,34.9314,-82.3832,,Pierson et al. 2023,All via Appendix 1 Table S1,No
Eurycea wilderae,35.39,-82.75,,Pierson et al. 2023,All via Appendix 1 Table S1,No
Eurycea wilderae,35.5,-84.02,,Pierson et al. 2023,All via Appendix 1 Table S1,No
Eurycea wilderae,35.7972,-84.8117,,Pierson et al. 2023,All via Appendix 1 Table S1,No
Eurycea wilderae,35.3977,-84.0736,,Pierson et al. 2023,All via Appendix 1 Table S1,No
Eurycea aquatica,36.206,-82.6508,,Pierson et al. 2023,All via Appendix 1 Table S1,No
Eurycea aquatica,35.9564,-83.9224,,Pierson et al. 2023,All via Appendix 1 Table S1,No
Eurycea cirrigera,36.1249,-84.423,,Pierson et al. 2023,All via Appendix 1 Table S1,No
Eurycea cirrigera,36.126,-84.5045,,Pierson et al. 2023,All via Appendix 1 Table S1,No
Eurycea wilderae,35.841,-82.9689,,Pierson et al. 2023,All via Appendix 1 Table S1,No
Eurycea wilderae,35.8253,-82.9375,,Pierson et al. 2023,All via Appendix 1 Table S1,No
Eurycea wilderae,35.9613,-82.8752,,Pierson et al. 2023,All via Appendix 1 Table S1,No
Eurycea wilderae,35.6728,-85.3851,,Pierson et al. 2023,All via Appendix 1 Table S1,No
Eurycea wilderae,35.2516,-85.7464,,Pierson et al. 2023,All via Appendix 1 Table S1,No
Eurycea wilderae,35.2516,-85.7464,,Pierson et al. 2023,All via Appendix 1 Table S1,No
Eurycea aquatica,34.9759,-85.2406,,Pierson et al. 2023,All via Appendix 1 Table S1,No
Eurycea aquatica,35.9507,-83.8768,,Pierson et al. 2023,All via Appendix 1 Table S1,No
Eurycea wilderae,35.1873,-84.4879,,Pierson et al. 2023,All via Appendix 1 Table S1,No
Eurycea wilderae,35.7445,-82.214,,Pierson et al. 2023,All via Appendix 1 Table S1,No
Eurycea cirrigera,34.6705,-85.0618,,Pierson et al. 2023,All via Appendix 1 Table S1,No
Eurycea cirrigera,34.2161,-84.6834,,Pierson et al. 2023,All via Appendix 1 Table S1,No
Eurycea cirrigera,35.1982,-84.3708,,Pierson et al. 2023,All via Appendix 1 Table S1,No
Eurycea wilderae,35.1936,-84.3822,,Pierson et al. 2023,All via Appendix 1 Table S1,No
Eurycea cirrigera,31.1865,-89.1375,,Pierson et al. 2023,All via Appendix 1 Table S1,No
Eurycea cirrigera,33.2511,-88.9817,,Pierson et al. 2023,All via Appendix 1 Table S1,No
Eurycea cirrigera,33.4283,-84.9467,,Pierson et al. 2023,All via Appendix 1 Table S1,No
Eurycea cirrigera,36.7812,-80.3795,,Pierson et al. 2023,All via Appendix 1 Table S1,No
Eurycea wilderae,34.7851,-83.9336,,Pierson et al. 2023,All via Appendix 1 Table S1,No
Eurycea aquatica,36.2502,-83.929,,Pierson et al. 2023,All via Appendix 1 Table S1,No
Eurycea wilderae,36.288,-81.6492,,Pierson et al. 2023,All via Appendix 1 Table S1,No
Eurycea wilderae,35.8503,-81.9855,,Pierson et al. 2023,All via Appendix 1 Table S1,No
Eurycea wilderae,35.8503,-81.9855,,Pierson et al. 2023,All via Appendix 1 Table S1,No
Eurycea cirrigera,35.1408,-81.3458,,Pierson et al. 2023,All via Appendix 1 Table S1,No
Eurycea wilderae,35.7813,-85.0198,,Pierson et al. 2023,All via Appendix 1 Table S1,No
Eurycea cirrigera,31.0422,-89.0717,,Pierson et al. 2023,All via Appendix 1 Table S1,No
Eurycea cirrigera,36.2737,-86.9028,,Pierson et al. 2023,All via Appendix 1 Table S1,No
Eurycea cirrigera,35.6253,-86.3165,,Pierson et al. 2023,All via Appendix 1 Table S1,No
